"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
264,"NCT03104842","Evaluation iNduction, Consolidation and Maintenance Treatment With Isatuximab , Carfilzomib, LEnalidomide and Dexamethasone",,"Recruiting","No Results Available","Multiple Myeloma","Drug: Isatuximab|Drug: Carfilzomib|Drug: Lenalidomide|Drug: Dexamethasone","MRD negativity","University Hospital Tuebingen","All","18 Years and older   (Adult, Older Adult)","Phase 2","153","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GMMG-CONCEPT","August 15, 2017","July 2023","July 2024","April 7, 2017",,"July 12, 2019","Vivantes Am Urban, Berlin, Germany|Campus Benjamin Franklin Charite Berlin, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Städt. Kliniken Bielefeld Klinikum Mitte, Bielefeld, Germany|University Hospital Bochum, Bochum, Germany|Johanniter-Krankenhaus Bonn, Bonn, Germany|Uniklinikum Chemnitz, Chemnitz, Germany|St. Antonius Hospital, Eschweiler, Germany|Universitätsklinikum Essen, Essen, Germany|Asklepios Altona, Hamburg, Germany|University Hospital Hamburg Eppendorf, Hamburg, Germany|University Hospital Heidelberg, Heidelberg, Germany|Uniklinik Köln, Koln, Germany|Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Mainz, Germany|Philipps-Universität Marburg, Marburg, Germany|Klinik für Hämatologie, Onkologie und GastroenterologieKliniken Maria Hilf GmbH, Mönchengladbach, Germany|University Hospital Münster, Münster, Germany|Zentrum für Tumordiagnostik und -therapieHämatologie/Int. Onkologie, Osnabruck, Germany|Universitätsklinikum Tuebingen, Tuebingen, Germany",,"https://ClinicalTrials.gov/show/NCT03104842"
265,"NCT01455532","A Dose Escalation Study of Iniparib as a Single Agent and in Combination in Solid Tumors",,"Completed","No Results Available","Neoplasm Malignant","Drug: Iniparib (SAR240550-BSI-201)|Drug: Gemcitabine|Drug: Carboplatin|Drug: Placlitaxel|Drug: Pegylated liposomal doxorubicin","Assessment of iniparib as single agent and in combination with chemotherapeutic agents related dose limiting toxicities (DLTs) observed at first cycle|To assess the antitumor effect of iniparib according to the Response Evaluation Criteria in Solid Tumors [RECIST]) Version 1.1 in patients with measurable disease|Pharmakokinetic (PK) parameters: Cmax|Pharmakokinetic (PK) parameters : tmax|Pharmakokinetic (PK) parameters: tlast|Pharmakokinetic (PK) parameters: AUC|Pharmakokinetic (PK) parameters : t1/2z","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 1","59","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TED11746|U1111-1118-6091","November 2011","May 2013","April 2014","October 20, 2011",,"October 22, 2014","Investigational Site Number 840002, Scottsdale, Arizona, United States|Investigational Site Number 840004, Los Angeles, California, United States|Investigational Site Number 840010, Augusta, Georgia, United States|Investigational Site Number 840007, St Louis, Missouri, United States|Investigational Site Number 840001, Cincinnati, Ohio, United States|Investigational Site Number 840006, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01455532"
266,"NCT03523728","A Medical Research Study Designed to Determine if Venglustat Can be a Future Treatment for ADPKD Patients","STAGED-PKD","Recruiting","No Results Available","Polycystic Kidney, Autosomal Dominant","Drug: Venglustat GZ402671|Drug: Placebo","Rate of change in of total kidney volume (TKV)|Rate of change in eGFR|Rate of change in TKV|Change in urine osmolality|Change in nocturia|Adverse events|Assessment of plasma concentration of venglustat|Change in lens clarity|Change in score of Beck Depression Inventory-II (BDI-II)","Genzyme, a Sanofi Company|Sanofi","All","18 Years to 55 Years   (Adult)","Phase 2|Phase 3","640","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EFC15392|2017‐004084‐12|U1111-1202-0775","October 4, 2018","January 2023","January 2023","May 14, 2018",,"January 27, 2020","Investigational Site Number 8400002, Birmingham, Alabama, United States|Investigational Site Number 8400017, Los Angeles, California, United States|Investigational Site Number 8400001, San Francisco, California, United States|Investigational Site Number 8400008, Aurora, Colorado, United States|Investigational Site Number 8400010, New Haven, Connecticut, United States|Investigational Site Number 8400004, Atlanta, Georgia, United States|Investigational Site Number 8400007, Chicago, Illinois, United States|Investigational Site Number 8400014, Iowa City, Iowa, United States|Investigational Site Number 8400003, Kansas City, Kansas, United States|Investigational Site Number 8400021, Baltimore, Maryland, United States|Investigational Site Number 8400016, Boston, Massachusetts, United States|Investigational Site Number 8400020, Rochester, Minnesota, United States|Investigational Site Number 8400011, Philadelphia, Pennsylvania, United States|Investigational Site Number 8400015, San Antonio, Texas, United States|Investigational Site Number 8400019, Morgantown, West Virginia, United States|Investigational Site Number 8400005, Madison, Wisconsin, United States|Investigational Site Number 8400006, Milwaukee, Wisconsin, United States|Investigational Site Number 0360002, Herston, Australia|Investigational Site Number 0360001, Westmead, Australia|Investigational Site Number 0400001, Graz, Austria|Investigational Site Number 0400004, Wien, Austria|Investigational Site Number 0560001, Bruxelles, Belgium|Investigational Site Number 0560002, Leuven, Belgium|Investigational Site Number 1240002, Edmonton, Canada|Investigational Site Number 1240003, Montreal, Canada|Investigational Site Number 1240001, Toronto, Canada|Investigational Site Number 1560005, Beijing, China|Investigational Site Number 1560004, Chengdu, China|Investigational Site Number 1560002, Hefei, China|Investigational Site Number 1560001, Shanghai, China|Investigational Site Number 1560003, Shenyang, China|Investigational Site Number 2030001, Praha 2, Czechia|Investigational Site Number 2030002, Praha 4, Czechia|Investigational Site Number 2080001, København Ø, Denmark|Investigational Site Number 2080002, Roskilde, Denmark|Investigational Site Number 2500004, Bordeaux, France|Investigational Site Number 2500003, Brest, France|Investigational Site Number 2500002, Paris, France|Investigational Site Number 2500001, Toulouse, France|Investigational Site Number 2760001, Berlin, Germany|Investigational Site Number 2760002, Dresden, Germany|Investigational Site Number 2760010, Dresden, Germany|Investigational Site Number 2760007, Düsseldorf, Germany|Investigational Site Number 2760009, Essen, Germany|Investigational Site Number 2760005, Hannover, Germany|Investigational Site Number 2760003, Köln, Germany|Investigational Site Number 2760011, Leipzig, Germany|Investigational Site Number 2760004, München, Germany|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800001, Montichiari, Italy|Investigational Site Number 3920002, Bunkyo-Ku, Japan|Investigational Site Number 3920005, Kamakura-Shi, Japan|Investigational Site Number 3920006, Kawasaki-Shi, Japan|Investigational Site Number 3920010, Kyoto-Shi, Japan|Investigational Site Number 3920009, Nagoya-Shi, Japan|Investigational Site Number 3920003, Niigata-Shi, Japan|Investigational Site Number 3920007, Osaka-Shi, Japan|Investigational Site Number 3920001, Sapporo-Shi, Japan|Investigational Site Number 3920004, Shinjuku-Ku, Japan|Investigational Site Number 3920008, Toyoake-Shi, Japan|Investigational Site Number 4100001, Seoul, Korea, Republic of|Investigational Site Number 4100002, Seoul, Korea, Republic of|Investigational Site Number 5280001, Groningen, Netherlands|Investigational Site Number 5280002, Nijmegen, Netherlands|Investigational Site Number 6200004, Almada, Portugal|Investigational Site Number 6200001, Loures, Portugal|Investigational Site Number 6420002, Bucuresti, Romania|Investigational Site Number 6420001, Timisoara, Romania|Investigational Site Number 7240003, Barcelona, Spain|Investigational Site Number 7240001, Barcelona, Spain|Investigational Site Number 7240002, Madrid, Spain|Investigational Site Number 1580001, Taichung, Taiwan|Investigational Site Number 1580002, Taipei, Taiwan|Investigational Site Number 8260001, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03523728"
267,"NCT01230619","Vienna Challenge Chamber Study Using RV658 in Subjects With Allergic Rhinitis",,"Completed","No Results Available","Seasonal Allergic Rhinitis","Drug: RV568|Drug: Placebo","Total nasal symptom score (TNSS)|Eye symptom score|Global symptom score|Nasal airflow resistance|Safety parameters","Respivert Ltd","Male","18 Years to 55 Years   (Adult)","Phase 2","75","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","RVH002|2010-022113-25","October 2010","November 2010","December 2010","October 29, 2010",,"December 6, 2010","Institute for Allergy Research, Vienna Challenge Chamber, Vienna, Austria",,"https://ClinicalTrials.gov/show/NCT01230619"
268,"NCT02990338","Multinational Clinical Study Comparing Isatuximab, Pomalidomide, and Dexamethasone to Pomalidomide and Dexamethasone in Refractory or Relapsed and Refractory Multiple Myeloma Patients","ICARIA-MM","Active, not recruiting","Has Results","Plasma Cell Myeloma","Drug: Isatuximab|Drug: Pomalidomide|Drug: Dexamethasone","Progression Free Survival (PFS)|Overall Response Rate (ORR): Percentage of Participants With Overall Response|Overall Survival (OS)|Time to Progression (TTP)|Progression Free Survival in High Risk Cytogenetic Population|Duration of Response (DOR)|Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs)|Pharmacokinetics (PK) Parameter: Plasma Concentration of Isatuximab at End of Infusion (CEOI)|Pharmacokinetic Parameter: Accumulation Ratio of Isatuximab at Concentration at the End of Infusion (CEOI)|Pharmacokinetic Parameter: Plasma Concentration of Isatuximab at 1 Hour After End of Infusion (CEOI+1 Hour)|PK Parameter: Plasma Concentration of Isatuximab at Ctrough|PK Parameter: Accumulation Ratio of Isatuximab at Trough Concentration (Ctrough)|Number of Participants With Anti-drug Antibodies (ADA)|Change From Baseline in European Organization for Research and Treatment of Cancer Quality of Life Cancer Specific Questionnaire With 30 Items (EORTC QLQ-C30): Global Health Status (GHS)/Quality of Life (QOL) Score|Change From Baseline in European Organization for Research and Treatment of Cancer Quality of Life Multiple Myeloma Specific Module With 20 Items (EORTC QLQ-MY20): Disease Symptoms Domain Score|Change From Baseline in European Organization for Research and Treatment of Cancer Quality of Life Multiple Myeloma Specific Module With 20 Items (EORTC QLQ-MY20): Side Effects of Treatment Domain Score|Change From Baseline in European Quality of Life Working Group Health Status Measure 5 Dimensions (5D), 5 Levels (5L) (EQ-5D-5L) Score: Health State Utility Index Value|Change From Baseline in European Quality of Life Working Group Health Status Measure 5 Dimensions, 5 Levels (EQ-5D-5L) Score: Visual Analogic Scale (VAS)|Percentage of Participants With Best Overall Response (BOR)|Clinical Benefit Rate (CBR): Percentage of Participants With Clinical Benefit|Percentage of Participants With Very Good Partial Response (VGPR)|Time to First Response (TT1R)|Time to Best Response (TTBR)|Number of Participants With Minimal Residual Disease (MRD)","Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 3","307","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EFC14335|2016-003097-41|U1111-1180-6262","December 22, 2016","November 22, 2018","March 2021","December 13, 2016","December 6, 2019","January 28, 2020","Investigational Site Number 8400002, Plantation, Florida, United States|Investigational Site Number 8400006, Boston, Massachusetts, United States|Investigational Site Number 0360005, Melbourne, Australia|Investigational Site Number 0360002, Prahran, Australia|Investigational Site Number 0360006, Richmond, Australia|Investigational Site Number 0360004, St Leonards, Australia|Investigational Site Number 0360001, Waratah, Australia|Investigational Site Number 0560003, Antwerpen, Belgium|Investigational Site Number 0560002, Brussel, Belgium|Investigational Site Number 0560004, Gent, Belgium|Investigational Site Number 0560001, Leuven, Belgium|Investigational Site Number 1240001, Montreal, Canada|Investigational Site Number 1240004, Montreal, Canada|Investigational Site Number 1240005, Sherbrooke, Canada|Investigational Site Number 2030005, Brno, Czechia|Investigational Site Number 2030004, Hradec Kralove, Czechia|Investigational Site Number 2030001, Olomouc, Czechia|Investigational Site Number 2030002, Ostrava - Poruba, Czechia|Investigational Site Number 2030003, Praha 2, Czechia|Investigational Site Number 2080002, Ålborg, Denmark|Investigational Site Number 2500021, Bayonne, France|Investigational Site Number 2500008, Caen, France|Investigational Site Number 2500009, Dijon, France|Investigational Site Number 2500017, Grenoble, France|Investigational Site Number 2500013, La Roche Sur Yon, France|Investigational Site Number 2500003, Lille, France|Investigational Site Number 2500023, Limoges, France|Investigational Site Number 2500019, Montpellier Cedex, France|Investigational Site Number 2500002, Nantes Cedex 01, France|Investigational Site Number 2500015, Paris, France|Investigational Site Number 2500016, Paris, France|Investigational Site Number 2500005, Pessac, France|Investigational Site Number 2500004, Pierre Benite, France|Investigational Site Number 2500007, Poitiers Cedex, France|Investigational Site Number 2500025, Reims, France|Investigational Site Number 2500014, Rennes, France|Investigational Site Number 2500001, Toulouse Cedex 9, France|Investigational Site Number 2500012, Tours, France|Investigational Site Number 2500018, Vandoeuvre-Les-Nancy Cedex, France|Investigational Site Number 2760001, Leipzig, Germany|Investigational Site Number 3000002, Athens, Greece|Investigational Site Number 3000005, Athens, Greece|Investigational Site Number 3000001, Athens, Greece|Investigational Site Number 3000004, Patra, Greece|Investigational Site Number 3000003, Thessaloniki, Greece|Investigational Site Number 3480001, Budapest, Hungary|Investigational Site Number 3480003, Budapest, Hungary|Investigational Site Number 3480002, Debrecen, Hungary|Investigational Site Number 3800001, Bologna, Italy|Investigational Site Number 3800010, Catania, Italy|Investigational Site Number 3800009, Firenze, Italy|Investigational Site Number 3800008, Genova, Italy|Investigational Site Number 3800007, Milano, Italy|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800006, Padova, Italy|Investigational Site Number 3800004, Terni, Italy|Investigational Site Number 3800003, Torino, Italy|Investigational Site Number 3920006, Kyoto-Shi, Japan|Investigational Site Number 3920001, Nagoya-Shi, Japan|Investigational Site Number 3920003, Okayama-Shi, Japan|Investigational Site Number 3920004, Sapporo-Shi, Japan|Investigational Site Number 3920005, Shibukawa-Shi, Japan|Investigational Site Number 3920002, Shibuya-Ku, Japan|Investigational Site Number 3920007, Sunto-Gun, Japan|Investigational Site Number 3920008, Suwa-Shi, Japan|Investigational Site Number 4100007, Hwasun-Gun, Korea, Republic of|Investigational Site Number 4100006, Incheon, Korea, Republic of|Investigational Site Number 4100001, Seoul, Korea, Republic of|Investigational Site Number 4100002, Seoul, Korea, Republic of|Investigational Site Number 4100005, Seoul, Korea, Republic of|Investigational Site Number 5540002, Auckland, New Zealand|Investigational Site Number 5540004, Dunedin, New Zealand|Investigational Site Number 5540003, Hamilton, New Zealand|Investigational Site Number 5540001, Takapuna, New Zealand|Investigational Site Number 5780001, Oslo, Norway|Investigational Site Number 6160002, Chorzow, Poland|Investigational Site Number 6160005, Krakow, Poland|Investigational Site Number 6160003, Lublin, Poland|Investigational Site Number 6160001, Warszawa, Poland|Investigational Site Number 6200004, Coimbra, Portugal|Investigational Site Number 6200002, Lisboa, Portugal|Investigational Site Number 6200001, Porto, Portugal|Investigational Site Number 6430004, Moscow, Russian Federation|Investigational Site Number 6430001, Moscow, Russian Federation|Investigational Site Number 6430002, Moscow, Russian Federation|Investigational Site Number 7030001, Bratislava, Slovakia|Investigational Site Number 7240001, Barcelona, Spain|Investigational Site Number 7240003, Madrid, Spain|Investigational Site Number 7240002, Pamplona, Spain|Investigational Site Number 7240004, Salamanca, Spain|Investigational Site Number 7240006, Santander, Spain|Investigational Site Number 7240005, Santiago De Compostela, Spain|Investigational Site Number 7520004, Luleå, Sweden|Investigational Site Number 7520005, Uddevalla, Sweden|Investigational Site Number 1580004, Kaohsiung, Taiwan|Investigational Site Number 1580002, Taichung, Taiwan|Investigational Site Number 1580001, Taipei, Taiwan|Investigational Site Number 1580003, Taoyuan, Taiwan|Investigational Site Number 7920001, Ankara, Turkey|Investigational Site Number 7920002, Antalya, Turkey|Investigational Site Number 7920005, Istanbul, Turkey|Investigational Site Number 7920003, Istanbul, Turkey|Investigational Site Number 7920004, Istanbul, Turkey|Investigational Site Number 7920006, İstanbul, Turkey|Investigational Site Number 7920008, Izmir, Turkey|Investigational Site Number 7920010, Izmir, Turkey|Investigational Site Number 7920009, Kayseri, Turkey|Investigational Site Number 7920007, Kocaeli, Turkey|Investigational Site Number 8260002, London, United Kingdom|Investigational Site Number 8260003, London, United Kingdom|Investigational Site Number 8260001, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02990338/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/38/NCT02990338/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02990338"
269,"NCT00733005","Study of Nasonex in the Relief of Nasal Congestion in Patients With Seasonal Allergic Rhinitis (Study P05528)(COMPLETED)",,"Completed","Has Results","Allergic Rhinitis","Drug: Mometasone furoate nasal spray (MFNS)|Drug: Matching placebo nasal spray","The Change From Baseline in Average AM/PM PRIOR Nasal Congestion Score Over 15 Days.|The Change From Baseline in Average AM/PM PRIOR Total Nasal Symptom Score Over 15 Days","Merck Sharp & Dohme Corp.","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","324","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","P05528","July 2008","October 2008","October 2008","August 12, 2008","November 19, 2009","April 12, 2017",,,"https://ClinicalTrials.gov/show/NCT00733005"
270,"NCT00732381","Study of Nasonex in the Relief of Nasal Congestion in Patients With Seasonal Allergic Rhinitis (Study P05529)",,"Completed","Has Results","Allergic Rhinitis","Drug: Mometasone furoate nasal spray (MFNS)|Drug: Matching placebo nasal spray","The Change From Baseline in Average AM/PM PRIOR Nasal Congestion Score Over 15 Days|The Change From Baseline in Average AM/PM PRIOR Total Nasal Symptom Score Over 15 Days","Merck Sharp & Dohme Corp.","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","351","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","P05529","August 2008","November 2008","November 2008","August 12, 2008","November 13, 2009","April 13, 2017",,,"https://ClinicalTrials.gov/show/NCT00732381"
271,"NCT00728416","Study of Nasonex in the Relief of Nasal Congestion in Patients With Seasonal Allergic Rhinitis (Study P05583)",,"Completed","Has Results","Allergic Rhinitis","Drug: Mometasone furoate nasal spray (MFNS)|Drug: Matching placebo nasal spray","Change From Baseline in Average AM/PM PRIOR Nasal Congestion Score Over 15 Days|Change From Baseline in Average AM/PM PRIOR Total Nasal Symptom Score Over 15 Days","Merck Sharp & Dohme Corp.","All","12 Years and older   (Child, Adult, Older Adult)","Phase 3","333","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","P05583|MK-0887-160","August 2008","October 2008","October 2008","August 5, 2008","November 19, 2009","September 16, 2016",,,"https://ClinicalTrials.gov/show/NCT00728416"
272,"NCT02715726","Evaluation of Alirocumab Versus Ezetimibe on Top of Statin in Asia in High Cardiovascular Risk Patients With Hypercholesterolemia","ODYSSEY EAST","Completed","Has Results","Hypercholesterolemia","Drug: Alirocumab|Drug: Placebo for alirocumab|Drug: ezetimibe|Drug: placebo for ezetimibe|Drug: atorvastatin|Drug: rosuvastatin|Drug: simvastatin","Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 24: Intent-to-treat (ITT) Analysis|Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 24: On-Treatment Analysis|Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 12: ITT Analysis|Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 12: On-Treatment Analysis|Percent Change From Baseline in Apolipoprotein B (Apo B) at Week 24: ITT Analysis|Percent Change From Baseline in Apolipoprotein B at Week 24: On-Treatment Analysis|Percent Change From Baseline in Non-High Density Lipoprotein Cholesterol (Non-HDL-C) at Week 24: ITT Analysis|Percent Change From Baseline in Non-High Density Lipoprotein Cholesterol at Week 24: On-Treatment Analysis|Percent Change From Baseline in Total Cholesterol (Total-C) at Week 24: ITT Analysis|Percent Change From Baseline in Apolipoprotein B at Week 12: ITT Analysis|Percent Change From Baseline in Non-High Density Lipoprotein Cholesterol at Week 12: ITT Analysis|Percent Change From Baseline in Total Cholesterol at Week 12: ITT Analysis|Percentage of Participants Reaching Calculated Low Density Lipoprotein Cholesterol <70 mg/dL (1.81 mmol/L) at Week 24: ITT Analysis|Percentage of Participants Reaching Calculated Low Density Lipoprotein Cholesterol <70 mg/dL (1.81 mmol/L) at Week 24: On-Treatment Analysis|Percent Change From Baseline in Lipoprotein (a) (Lp[a]) at Week 24: ITT Analysis|Percent Change From Baseline in High Density Lipoprotein Cholesterol at Week 24: ITT Analysis|Percent Change From Baseline in Fasting Triglycerides (TG) at Week 24: ITT Analysis|Percent Change From Baseline in Apolipoprotein A-1 (Apo A-1) at Week 24: ITT Analysis|Percent Change From Baseline in Lipoprotein (a) at Week 12: ITT Analysis|Percent Change From Baseline in High Density Lipoprotein Cholesterol at Week 12: ITT Analysis|Percent Change From Baseline in Fasting Triglycerides at Week 12: ITT Analysis|Percent Change From Baseline in Apolipoprotein A-1 at Week 12 : ITT Analysis","Sanofi|Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","615","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EFC13889|U1111-1150-8859","July 27, 2016","August 6, 2018","August 6, 2018","March 22, 2016","September 30, 2019","September 30, 2019","Investigational Site Number 1560027, Beijing, China|Investigational Site Number 1560043, Beijing, China|Investigational Site Number 1560039, Beijing, China|Investigational Site Number 1560012, Beijing, China|Investigational Site Number 1560018, Beijing, China|Investigational Site Number 1560006, Changchun, China|Investigational Site Number 1560020, Changchun, China|Investigational Site Number 1560023, Changsha, China|Investigational Site Number 1560030, Fuzhou, China|Investigational Site Number 1560005, Guangzhou, China|Investigational Site Number 1560040, Guangzhou, China|Investigational Site Number 1560025, Guangzhou, China|Investigational Site Number 1560048, Hangzhou, China|Investigational Site Number 1560037, Hangzhou, China|Investigational Site Number 1560008, Hangzhou, China|Investigational Site Number 1560014, Hohhot, China|Investigational Site Number 1560016, Jinan, China|Investigational Site Number 1560044, Lanzhou, China|Investigational Site Number 1560028, Nanchang, China|Investigational Site Number 1560045, Nanjing, China|Investigational Site Number 1560017, Nanjing, China|Investigational Site Number 1560031, Nanjing, China|Investigational Site Number 1560035, Nanning, China|Investigational Site Number 1560029, Shanghai, China|Investigational Site Number 1560041, Shanghai, China|Investigational Site Number 1560053, Shanghai, China|Investigational Site Number 1560009, Shenyang, China|Investigational Site Number 1560001, Shenyang, China|Investigational Site Number 1560042, Shenyang, China|Investigational Site Number 1560036, Shenzhen, China|Investigational Site Number 1560056, Siping, China|Investigational Site Number 1560021, Taiyuan, China|Investigational Site Number 1560002, Tianjin, China|Investigational Site Number 1560022, Tianjin, China|Investigational Site Number 1560052, Tianjin, China|Investigational Site Number 1560055, Wenzhou, China|Investigational Site Number 1560003, Wuhan, China|Investigational Site Number 1560004, Xi'An, China|Investigational Site Number 1560019, Xuzhou, China|Investigational Site Number 1560054, Yinchuan, China|Investigational Site Number 1560057, Zhanjiang, China|Investigational Site Number 3560017, Belgaum, India|Investigational Site Number 3560001, Gurgaon, India|Investigational Site Number 3560003, Hubli, India|Investigational Site Number 3560010, Kolkata, India|Investigational Site Number 3560019, Kolkata, India|Investigational Site Number 3560020, Mangalore, India|Investigational Site Number 3560006, Mumbai, India|Investigational Site Number 3560007, Nagpur, India|Investigational Site Number 3560004, Nagpur, India|Investigational Site Number 3560008, Nagpur, India|Investigational Site Number 3560016, Nagpur, India|Investigational Site Number 3560014, New Delhi, India|Investigational Site Number 3560005, Pune, India|Investigational Site Number 3560011, Pune, India|Investigational Site Number 3560013, Surat, India|Investigational Site Number 3560015, Vijayawada, India|Investigational Site Number 3560012, Vijaywada, India|Investigational Site Number 7640003, Bangkok-Noi, Thailand|Investigational Site Number 7640004, Bangkok, Thailand|Investigational Site Number 7640001, Muang, Thailand|Investigational Site Number 7640002, Pratumwan, Thailand","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT02715726/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT02715726/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT02715726"
273,"NCT00464568","A 5-way Treatment Period Trial of Single Doses of Intranasal GSK256066 in Patients With Rhinitis",,"Completed","Has Results","Rhinitis, Allergic, Seasonal","Drug: GSK256066","Mean Messenger Ribonucleic Acid (mRNA) Concentrations as a Measure of Gene Expression|Mean Forced Expiratory Volume in One Second (FEV1)|Mean Diastolic Blood Pressure (DBP) and Systolic Blood Pressure (SBP) Over Study Period|Mean Heart Rate Over Study Period|Change From Baseline in Electrocardiogram (ECG) Values|Number of Participants With Adverse Events (AE) and Serious Adverse Events (SAE)|Number of Participants With Hematology Values of Potential Clinical Concern|Number of Participants With Clinical Chemistry Values of Potential Clinical Concern|Area Under the Plasma Drug Concentration Versus Time Curve (AUC0-last) of GSK256066|AUC (0-last) of Active Metabolite GSK614917|Maximum Observed Plasma Drug Concentration (Cmax) of GSK256066|Cmax of Active Metabolite GSK614917|Time to Maximum Observed Plasma Drug Concentration (Tmax) and Time to Last Observed Plasma Drug Concentration (Tlast) of GSK256066|Tmax and Tlast of Active Metabolite GSK614917|Nasal Lavage Concentrations of GSK256066|Mean Levels of Total Vasodilator Stimulated Phosphoprotein (VASP) Protein, Phosphorylated(Phospho)157 VASP (pVASP) and phospho239 VASP in Lavage Cells","GlaxoSmithKline","All","18 Years to 50 Years   (Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Treatment","IPR109764","March 28, 2007","May 16, 2007","May 16, 2007","April 23, 2007","August 21, 2017","August 20, 2018","GSK Investigational Site, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT00464568"
274,"NCT00805584","Study of Nasal Symptom Relief and Side Effects in Hayfever Patients Treated With Aerius (Desloratadine)(P03442)",,"Completed","No Results Available","Rhinitis, Allergic, Seasonal","Drug: desloratadine","Relief of allergy symptoms|Global therapeutic response|Adverse events","Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 4","311","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P03442","May 2003","June 2003","June 2003","December 9, 2008",,"April 21, 2015",,,"https://ClinicalTrials.gov/show/NCT00805584"
